names,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len75000.0-niter500-nlayers3
Eucampia,0.30478840495729953,0.3026454222165378,0.29881608533221116,0.3123849301408353,0.29926576481347145,0.2974745798817762,0.2964007897569924,0.3036837394229458,0.29866323979539566,0.3014304343132622,0.30414039458802666,0.29695581348638517,0.29686217333326403,0.29815797755358386,0.29928830053147454,0.2953082533541961
Euglena,0.06531149748685558,0.06370046699609352,0.06269656370843782,0.06654241428409555,0.06299673402777138,0.06181460805419128,0.06106514093257686,0.06445611857977551,0.05682973595508859,0.05620267190362726,0.05504878811325675,0.05701558923012406,0.058347635685049935,0.05756574269767082,0.057120904957317704,0.05928476912277857
Eunotogramma dubium,0.27399964722067444,0.27212569997568986,0.27170951448349784,0.2751724404724982,0.27213498140845177,0.2707854284610536,0.27034195798616534,0.27521419580480877,0.2748559714270924,0.2902878345208069,0.30288837148374165,0.2783264654634336,0.2708895375228684,0.2732177025203087,0.2815897750816793,0.27429688048691514
Eunotogramma,0.3328319797180298,0.335028939868265,0.32100060439069394,0.34696799103125375,0.32500892337084486,0.3187648492831692,0.318807286833858,0.3301035377947614,0.3403549483484387,0.34614893328805557,0.3483913334709031,0.3295356708010271,0.32724887857863344,0.3334119189722654,0.3408994962467819,0.3181773747420349
Eupodiscus,0.22932205738722714,0.23072244281405266,0.23463295182125504,0.22781538195241044,0.22835241816882676,0.2302936595686053,0.23367491200388124,0.22782621346629953,0.2266993917302865,0.22746775842881864,0.22811412059217398,0.22593552299581654,0.22729080508282562,0.228460807726003,0.22988528812625775,0.22642846353472665
Eutreptiella,0.75773009762977,0.7432922309895668,0.695405739913105,0.7965482826318495,0.6929093682042389,0.6621233023813213,0.6540974520050851,0.7524280706999337,0.5636270973757328,0.5572084247474707,0.5539505978289764,0.5731516927857513,0.5821280693399047,0.5723072003924224,0.564995452676841,0.6068689533586353
Fibrocapsa,0.2730727079714058,0.2686894635303171,0.26605702611707904,0.27527914434790074,0.26530608422312624,0.26384326329329205,0.2616323411815065,0.2676350813747242,0.276611027586079,0.27657017389375205,0.27482619685587906,0.27571314334308006,0.26581054655791286,0.27332840254432467,0.27476251305796057,0.2675025886102965
Fragilaria,0.19465553451331288,0.19266157847630652,0.19390411541486097,0.19591754776387663,0.19290290485165953,0.19309256277221928,0.19102871928828666,0.19334692000529527,0.19137016216089212,0.19071531791945878,0.19128709820981074,0.19060887355515882,0.19065954434384766,0.19140725843233922,0.19118065176727728,0.19087526453002726
Gonyaulax,0.2357473438932767,0.2307336188199587,0.220754929506285,0.2516541246194227,0.22383027634436448,0.21278146330084124,0.20690699059731277,0.23669108103162337,0.2041389054213208,0.20262601976374356,0.20225725220935523,0.20731752151343716,0.20705317941855328,0.20507734224204785,0.20358397330531133,0.20540533422180246
Gymnodinium simplex,0.42259589243313056,0.42134102574479204,0.42053909365081904,0.4229508586040253,0.41905533551641844,0.41728346693278184,0.4154014025735511,0.42030658086053396,0.408433043390975,0.407157163506783,0.4079966205666464,0.4114003121756177,0.41048494793214363,0.4092286286258604,0.40863497798192205,0.41254779194062036
Gymnodinium,0.6385946810375115,0.5629304015775911,0.5194348608884167,0.7124055695168919,0.5262818423745091,0.4828456439643818,0.46460428323820513,0.6054672105430787,0.41874941367144136,0.4126481078931494,0.4160683367945414,0.4224441306135449,0.43389707601648037,0.42426728153512633,0.42137959065396086,0.4430299869164635
Gyrodinium spirale,0.6381699902997106,0.6431015542242283,0.6455194941326853,0.6329441195173685,0.6401864424544803,0.6445974077465793,0.6465098632949478,0.6357932151205511,0.6441584428141963,0.644524047646686,0.6448708078980067,0.6435739839967605,0.6439143159429555,0.6443941487872438,0.644669711914841,0.6420678851530869
Gyrodinium,0.7659078339072511,0.5701260876169721,0.540534816586649,0.9618128100255876,0.544225567818901,0.5306409883925811,0.5262184772263938,0.69680251795127,0.5462287375428779,0.5493693051897971,0.551294651080906,0.5338705594760231,0.5347083374849158,0.5436009621824208,0.5500432040743047,0.5242294512086231
Gyrosigma,0.18751682516620186,0.18730604080576863,0.18787836140034844,0.18974409631893327,0.18783934893918908,0.1875305166453321,0.1879573082301547,0.18812145891680115,0.1880899717267712,0.18851002021987895,0.18876574377821667,0.18854625105630368,0.18934990756271775,0.18900784401876597,0.18855378765823813,0.18795961309876572
Helicotheca tamesis,0.13731436675646005,0.13999976100786957,0.14331035077698992,0.1350109803637386,0.14469975833300222,0.14454398888857609,0.14983990155400415,0.13835387233422036,0.14700707890852438,0.14981290618905474,0.1526558402412175,0.13977141911270624,0.13861057769351107,0.14403216063780178,0.14821039022738866,0.14246024497781443
Helicotheca,0.16545572687689517,0.17132634516139095,0.17901543149978397,0.16242468985920763,0.17784139580489822,0.1843628240261621,0.19551828820609068,0.16593274670327982,0.21121791418539157,0.21449906720045403,0.2161955609148527,0.2029290549842936,0.20673962488547626,0.21020239270604468,0.21300795151630306,0.19410290940283587
